N,Rho,Lambda,MC,MackeyGlass,Rank,Separation
100,0.5,-0.11309689413057901,0.06076361254119853,-3.3506366343216447,1.0,223.79628351640056
100,2.0,-0.11705560187079804,0.07471238447914964,-2.2376101433322195,0.99,192.05409317382828
100,3.5,-35.955278594096725,0.06167635332693938,-0.879736388199212,0.16,
100,5.0,-37.17930754214999,0.052336924076961375,0.0,0.06,
100,6.5,-36.64603364288847,0.04113858050084585,0.0,0.02,
100,8.0,-37.33480026820789,0.023811512826244788,0.0,0.02,
200,0.5,-0.12785385552416018,0.04617396985948092,-7.5755123763664916,1.0,207.06142785890273
200,2.0,-0.1470594560456753,0.06294826387649187,-8.715926339732517,0.975,252.20587714553548
200,3.5,-38.17554154254933,0.13224476462283702,0.0,0.01,
200,5.0,-38.384646298814076,4.286122124860643e-31,0.0,0.005,
200,6.5,-38.340492460644235,4.286609497032091e-31,0.0,0.005,
200,8.0,-37.344231574817464,4.286122124860643e-31,0.0,0.005,
